date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,sota,saves,cs,pka,pksv,totdist,live,dead,att,touches,succ,team
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,W,2.0,0.0,SV Oberachern,,,76.0,24500.0,Vincenzo Grifo,3-5-2,Richard Hempel,Match Report,,30.0,11.0,,,0.0,0.0,2.0,2.0,1.0,0.0,0.0,,,,,,,Freiburg
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,W,2.0,1.0,Hoffenheim,2.6,1.4,50.0,25890.0,Christian Günter,4-2-2-2,Sven Jablonski,Match Report,,18.0,7.0,14.8,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,6684.0,456.0,38.0,494.0,610.0,14.0,Freiburg
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,W,1.0,0.0,Werder Bremen,2.4,1.0,49.0,34700.0,Vincenzo Grifo,4-2-2-2,Benjamin Brand,Match Report,,23.0,7.0,15.6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6873.0,443.0,48.0,494.0,614.0,6.0,Freiburg
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,0.0,5.0,Stuttgart,1.0,1.7,52.0,54300.0,Vincenzo Grifo,4-2-3-1,Felix Brych,Match Report,,13.0,7.0,13.7,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,8669.0,525.0,47.0,573.0,652.0,3.0,Freiburg
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,L,2.0,4.0,Dortmund,1.0,2.3,50.0,34700.0,Maximilian Eggestein,4-2-3-1,Tobias Stieler,Match Report,,15.0,4.0,15.8,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,6137.0,402.0,51.0,456.0,542.0,8.0,Freiburg
2023-09-21,22:00,Europa Lg,Group stage,Thu,Away,W,3.0,2.0,gr Olympiacos,1.7,2.4,53.0,,Vincenzo Grifo,4-2-3-1,Allard Lindhout,Match Report,,12.0,5.0,17.2,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,6981.0,450.0,54.0,504.0,617.0,9.0,Freiburg
2023-08-13,13:00,DFB-Pokal,Round of 64,Sun,Away,W,8.0,0.0,Rostocker FC,,,63.0,3500.0,Patrick Mainka,4-1-3-2,Nicolas Winter,Match Report,,39.0,21.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,Heidenheim
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Wolfsburg,1.2,2.2,52.0,22620.0,Patrick Mainka,4-1-3-2,Florian Badstübner,Match Report,,14.0,1.0,16.3,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,8504.0,487.0,55.0,542.0,655.0,13.0,Heidenheim
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,L,2.0,3.0,Hoffenheim,2.4,3.0,38.0,15000.0,Patrick Mainka,4-4-2,Robert Hartmann,Match Report,,19.0,7.0,18.2,1.0,0.0,1.0,6.0,3.0,0.0,1.0,0.0,4752.0,278.0,62.0,340.0,459.0,6.0,Heidenheim
2023-09-01,20:30,Bundesliga,Matchweek 3,Fri,Away,D,2.0,2.0,Dortmund,2.1,3.4,38.0,81365.0,Patrick Mainka,4-2-3-1,Tobias Reichel,Match Report,,13.0,5.0,19.6,1.0,1.0,1.0,8.0,6.0,0.0,1.0,0.0,4867.0,293.0,50.0,346.0,460.0,11.0,Heidenheim
2023-09-17,15:30,Bundesliga,Matchweek 4,Sun,Home,W,4.0,2.0,Werder Bremen,2.2,3.0,41.0,15000.0,Patrick Mainka,4-2-3-1,Patrick Ittrich,Match Report,,17.0,4.0,18.2,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,5495.0,325.0,45.0,371.0,487.0,7.0,Heidenheim
2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,L,2.0,3.0,Viktoria Köln,,,38.0,8343.0,Niclas Füllkrug,3-4-3,Frank Willenborg,Match Report,,9.0,5.0,,,1.0,1.0,10.0,7.0,0.0,0.0,0.0,,,,,,,Werder Bremen
2023-08-18,20:30,Bundesliga,Matchweek 1,Fri,Home,L,0.0,4.0,Bayern Munich,0.6,2.8,28.0,42100.0,Marco Friedl,3-1-4-2,Felix Zwayer,Match Report,,6.0,1.0,20.7,1.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,3971.0,235.0,37.0,275.0,383.0,3.0,Werder Bremen
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Away,L,0.0,1.0,Freiburg,1.0,2.4,51.0,34700.0,Marco Friedl,3-1-4-2,Benjamin Brand,Match Report,,15.0,1.0,19.8,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,6622.0,461.0,45.0,508.0,616.0,4.0,Werder Bremen
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,4.0,0.0,Mainz 05,2.7,0.5,45.0,41000.0,Marco Friedl,3-5-2,Robert Schröder,Match Report,,12.0,5.0,14.7,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,5426.0,377.0,50.0,428.0,562.0,6.0,Werder Bremen
2023-09-17,15:30,Bundesliga,Matchweek 4,Sun,Away,L,2.0,4.0,Heidenheim,3.0,2.2,59.0,15000.0,Marco Friedl,3-5-2,Patrick Ittrich,Match Report,,10.0,3.0,15.9,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,7842.0,465.0,62.0,529.0,648.0,12.0,Werder Bremen
2023-08-12,18:00,DFB-Pokal,Round of 64,Sat,Away,D,2 (1),2 (4),Arminia,,,58.0,21452.0,Anthony Losilla,4-3-3,Sven Jablonski,Match Report,Arminia won on penalty kicks following extra time,22.0,7.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,Bochum
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,L,0,5,Stuttgart,0.8,3.0,40.0,53000.0,Anthony Losilla,3-4-3,Daniel Siebert,Match Report,,4.0,1.0,11.8,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,5384.0,359.0,41.0,402.0,495.0,2.0,Bochum
2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,D,1,1,Dortmund,1.0,1.3,36.0,26000.0,Anthony Losilla,3-5-2,Robert Schröder,Match Report,,20.0,7.0,17.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4283.0,263.0,51.0,320.0,453.0,6.0,Bochum
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,D,2,2,Augsburg,1.6,1.9,62.0,27424.0,Anthony Losilla,3-5-2,Martin Petersen,Match Report,,21.0,8.0,20.6,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,7232.0,456.0,48.0,507.0,615.0,5.0,Bochum
2023-09-16,18:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,Eint Frankfurt,2.0,0.6,49.0,,Anthony Losilla,3-5-2,Benjamin Brand,Match Report,,21.0,6.0,21.7,1.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0,6071.0,436.0,52.0,488.0,625.0,6.0,Bochum
2023-08-11,18:00,DFB-Pokal,Round of 64,Fri,Away,W,7.0,0.0,TuS Bersenbrück,,,59.0,16098.0,Jonas Omlin,4-2-3-1,Alexander Sather,Match Report,,23.0,10.0,,,0.0,0.0,2.0,2.0,1.0,0.0,0.0,,,,,,,Monchengladbach
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Away,D,4.0,4.0,Augsburg,1.7,2.3,44.0,30660.0,Jonas Omlin,4-2-3-1,Daniel Schlager,Match Report,,9.0,4.0,17.0,0.0,1.0,1.0,7.0,3.0,0.0,1.0,0.0,5666.0,360.0,45.0,406.0,506.0,7.0,Monchengladbach
2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Home,L,0.0,3.0,Leverkusen,0.9,2.7,40.0,54042.0,Jonas Omlin,5-4-1,Christian Dingert,Match Report,,12.0,2.0,19.4,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,7080.0,456.0,37.0,494.0,624.0,0.0,Monchengladbach
2023-09-02,18:30,Bundesliga,Matchweek 3,Sat,Home,L,1.0,2.0,Bayern Munich,0.3,2.4,35.0,54042.0,Julian Weigl,4-5-1,Deniz Aytekin,Match Report,,7.0,3.0,24.5,1.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,5191.0,324.0,47.0,371.0,505.0,4.0,Monchengladbach
2023-09-17,17:30,Bundesliga,Matchweek 4,Sun,Away,D,3.0,3.0,Darmstadt 98,3.9,1.2,63.0,17810.0,Julian Weigl,4-2-3-1,Timo Gerach,Match Report,,21.0,9.0,16.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,0.0,8519.0,559.0,48.0,608.0,711.0,6.0,Monchengladbach
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,L,0.0,2.0,Unterhaching,,,63.0,12500.0,Ermedin Demirović,4-4-2,Timo Gerach,Match Report,,16.0,3.0,,,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,,,,,,Augsburg
